,BATHS,B_ROOMS,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,Class_type,EFFLUENT,FID,FID_,Field1,Island,NO_BATH,NO_STRUCT,N_FLUX,OSDS_QTY,OSDS_QTY_c,OSDS_QTY_calc,OSDS_TYP,P_FLUX,SOURCE,TMK,TTL_BDRMS,X,Y,commercial,type
0,0.0,0.0,0.0,0.0,0.0,2.0, ,2000.0,16,29368,29368,Molokai,7.0,2.0,0.457985,2.0,2.0,2.0,Cesspool,0.124905,DWELDAT Database,251006072,10.0,-157.252153325,21.1728862093, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,900.0,27,29421,29421,Molokai,3.0,1.0,0.206093,2.0,2.0,2.0,Cesspool,0.056207,Cesspool Database,251007041,0.0,-157.27062669,21.1532579356, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,29,29427,29427,Molokai,5.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,251007054,3.0,-157.26650418399998,21.1599320664, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,33,29437,29437,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254011052,5.0,-156.98632297,21.0778990592, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,57,29471,29471,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252002025,5.0,-157.104482365,21.1657183604, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,61,29477,29477,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252004010,4.0,-157.071549842,21.1498180976, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,91,29523,29523,Molokai,2.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,252004011,3.0,-157.074337175,21.1502743075, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,92,29524,29524,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252007009,6.0,-157.063639848,21.1645463616, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,95,29529,29529,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252022012,4.0,-157.074700477,21.1736379589, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,96,29530,29530,Molokai,3.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,252022013,7.0,-157.0762772,21.1739703296, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,97,29531,29531,Molokai,3.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,252022014,7.0,-157.077932145,21.1737486554, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,99,29533,29533,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252022016,6.0,-157.080898775,21.1749086466, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,100,29534,29534,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252022017,4.0,-157.08236827599998,21.1753490917, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,116,29553,29553,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252023020,6.0,-157.075837068,21.1687726136, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,121,29559,29559,Molokai,3.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,252023028,3.0,-157.083087067,21.1662264014, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,137,29582,29582,Molokai,1.0,1.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,IWS Database,252001011,7.0,-157.09546995899998,21.1466725278, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,160,29611,29611,Molokai,4.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252004056,6.0,-157.095652645,21.157786279, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,193,29673,29673,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252017005,4.0,-157.06316657899998,21.1802248204, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,219,29703,29703,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254006033,5.0,-156.988784203,21.0768613984, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,222,29706,29706,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252007011,6.0,-157.066464107,21.1664761205, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,400.0,225,29709,29709,Molokai,2.0,2.0,0.091597,2.0,2.0,2.0,Cesspool,0.024981,DWELDAT Database,252007020,2.0,-157.061116842,21.1747965825, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,229,29713,29713,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252007028,6.0,-157.043186306,21.1644823846, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,275,29768,29768,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252007094,4.0,-157.06270074,21.1671329738, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,290,29785,29785,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252022002,6.0,-157.069986466,21.1726294048, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,298,29793,29793,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252024001,4.0,-157.085963786,21.1679389009, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,304,29800,29800,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252023016,5.0,-157.07508233299998,21.1650886137, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,308,29809,29809,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252008028,5.0,-157.033776656,21.0965853616, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,316,29819,29819,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252008041,6.0,-157.042872608,21.1033344395, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,400.0,323,29828,29828,Molokai,3.0,2.0,0.091597,2.0,2.0,2.0,Cesspool,0.024981,DWELDAT Database,254010017,2.0,-156.99729255399998,21.0840912919, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,324,29830,29830,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254010019,5.0,-156.997037374,21.0844653598, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,361,29875,29875,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252021005,6.0,-157.070889588,21.1819062018, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,366,29885,29885,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,256011023,4.0,-156.877457588,21.048032021, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,393,29924,29924,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,257007034,6.0,-156.795743313,21.0737565421, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,394,29925,29925,Molokai,4.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252024010,5.0,-157.097223942,21.169167749, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,398,29929,29929,Molokai,3.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,252025004,7.0,-157.087160427,21.1761996486, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,400,29933,29933,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,257004001,4.0,-156.770208387,21.0900094719, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,428,29974,29974,Molokai,2.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,252026012,3.0,-157.11081530799999,21.1812765601, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,447,29994,29994,Molokai,4.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,254017040,6.0,-156.971455914,21.07065871, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,453,30010,30010,Molokai,4.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,257003081,6.0,-156.753283743,21.1012472951, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,462,30019,30019,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254006058,5.0,-156.988512325,21.0767612045, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,495,30056,30056,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254008005,5.0,-157.009860351,21.082252836, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,545,30122,30122,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252007003,6.0,-157.054046222,21.1624193078, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,548,30125,30125,Molokai,4.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252007007,6.0,-157.060413004,21.1643568148, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,553,30132,30132,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252007036,6.0,-157.053224319,21.1713141587, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,565,30170,30170,Molokai,3.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,254016013,3.0,-156.97007885899998,21.0798521509, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,604,30226,30226,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,254009038,4.0,-156.99976038399998,21.0815658223, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,619,30246,30246,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252011032,6.0,-157.052814569,21.1106978538, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,626,30253,30253,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252013003,6.0,-157.030078317,21.177666533, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,627,30258,30258,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252010003,5.0,-157.013082582,21.1499527133, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,629,30264,30264,Molokai,2.0,1.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,Cesspool Database,252011022,3.0,-157.083693786,21.1069612276, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,200.0,630,30268,30268,Molokai,2.0,2.0,0.045798,2.0,2.0,2.0,Cesspool,0.01249,DWELDAT Database,254001020,1.0,-156.943972583,21.0661117937, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,632,30275,30275,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,254001094,4.0,-156.950289822,21.0669553357, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,642,30294,30294,Molokai,2.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,252013032,3.0,-157.013223999,21.1557825825, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,643,30295,30295,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252013034,5.0,-157.020853169,21.1603554377, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,659,30316,30316,Molokai,4.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,254003035,7.0,-156.963580697,21.0696198527, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,667,30325,30325,Molokai,2.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,252015012,3.0,-157.05473269499998,21.1708795941, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,670,30329,30329,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252015017,6.0,-157.053879297,21.1670568701, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,673,30332,30332,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252015020,5.0,-157.058556788,21.1666061542, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,676,30335,30335,Molokai,3.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,252015023,7.0,-157.059320263,21.1684629961, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,703,30365,30365,Molokai,4.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,252016020,5.0,-157.004565451,21.1613561382, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,713,30377,30377,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252016053,4.0,-157.006624958,21.1608616744, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,764,30452,30452,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254004014,5.0,-156.998439984,21.0845863682, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,771,30463,30463,Molokai,4.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,254004027,6.0,-156.999415894,21.0845941774, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,772,30464,30464,Molokai,3.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254004028,5.0,-156.99993809,21.0848057292, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,774,30467,30467,Molokai,2.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,254004031,6.0,-156.999418086,21.0856784178, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,800,30498,30498,Molokai,2.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,254005036,3.0,-157.000735359,21.0814820975, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1600.0,807,30521,30521,Molokai,7.0,2.0,0.366388,2.0,2.0,2.0,Cesspool,0.099924,DWELDAT Database,254017021,8.0,-156.966226149,21.0694389808, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,833,30559,30559,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,254006006,4.0,-156.992373587,21.0777738812, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,834,30560,30560,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,254006008,4.0,-156.991738374,21.0775999116, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,835,30561,30561,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,254006009,6.0,-156.991389898,21.0775802663, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,400.0,844,30570,30570,Molokai,2.0,2.0,0.091597,2.0,2.0,2.0,Cesspool,0.024981,DWELDAT Database,254006019,2.0,-156.981095993,21.0733540539, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,858,30586,30586,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,254009023,5.0,-157.000199833,21.0829967786, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,917,30716,30716,Molokai,4.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,256001030,6.0,-156.832724112,21.0599074553, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,922,30729,30729,Molokai,2.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,256002003,7.0,-156.83001880999998,21.0631104918, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,929,30742,30742,Molokai,3.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,257004027,3.0,-156.77932375,21.0855422694, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1800.0,954,30781,30781,Molokai,2.0,2.0,0.412187,2.0,2.0,2.0,Cesspool,0.112415,DWELDAT Database,256007055,9.0,-156.877747858,21.0550659719, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,957,30784,30784,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,256008002,4.0,-156.86760616,21.0540609232, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,400.0,958,30785,30785,Molokai,2.0,2.0,0.091597,2.0,2.0,2.0,Cesspool,0.024981,DWELDAT Database,256008005,2.0,-156.872001333,21.0526089833, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,983,30816,30816,Molokai,3.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,256004010,6.0,-156.843070678,21.0565352132, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,996,30834,30834,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,256007044,5.0,-156.875876559,21.0556072127, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,1011,30855,30855,Molokai,3.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,257007005,4.0,-156.794406549,21.0728357946, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1400.0,1015,30862,30862,Molokai,4.0,2.0,0.32059,2.0,2.0,2.0,Cesspool,0.087433,DWELDAT Database,257007016,7.0,-156.796194718,21.072837055, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,1022,30875,30875,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,257009001,4.0,-156.819836646,21.0648670296, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,1025,30880,30880,Molokai,3.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,257010030,3.0,-156.822958554,21.0636847914, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,1031,30887,30887,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,257011055,5.0,-156.826541898,21.0624618845, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,1036,30892,30892,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,258001004,5.0,-156.751107389,21.1082217093, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,800.0,1047,30905,30905,Molokai,2.0,2.0,0.183194,2.0,2.0,2.0,Cesspool,0.049962,DWELDAT Database,252015058,4.0,-157.05764905,21.1702059009, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1200.0,1053,30911,30911,Molokai,5.0,2.0,0.274791,2.0,2.0,2.0,Cesspool,0.074943,DWELDAT Database,252002019,6.0,-157.112155466,21.1658932254, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,1063,30922,30922,Molokai,2.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,258007013,3.0,-156.741550126,21.1149747779, , 
0,0.0,0.0,0.0,0.0,0.0,2.0, ,1000.0,1074,30946,30946,Molokai,2.0,2.0,0.228992,2.0,2.0,2.0,Cesspool,0.062453,DWELDAT Database,257006033,5.0,-156.781912952,21.0836953823, , 
0,0.0,0.0,0.0,0.0,0.0,3.0, ,1400.0,265,29754,29754,Molokai,5.0,3.0,0.32059,3.0,3.0,3.0,Cesspool,0.087433,DWELDAT Database,252018043,7.0,-157.004253264,21.1645400011, , 
1,0.0,0.0,0.0,0.0,0.0,3.0, ,1400.0,265,29754,29754,Molokai,5.0,3.0,0.32059,3.0,3.0,3.0,Cesspool,0.087433,DWELDAT Database,252018043,7.0,-157.004453264,21.1645400011, , 
0,0.0,0.0,0.0,0.0,0.0,3.0, ,1800.0,311,29814,29814,Molokai,3.0,3.0,0.412187,3.0,3.0,3.0,Cesspool,0.112415,DWELDAT Database,252008034,9.0,-157.046923812,21.1032803758, , 
1,0.0,0.0,0.0,0.0,0.0,3.0, ,1800.0,311,29814,29814,Molokai,3.0,3.0,0.412187,3.0,3.0,3.0,Cesspool,0.112415,DWELDAT Database,252008034,9.0,-157.047123812,21.1032803758, , 
0,0.0,0.0,0.0,0.0,0.0,3.0, ,1800.0,440,29987,29987,Molokai,7.0,3.0,0.412187,3.0,3.0,3.0,Cesspool,0.112415,DWELDAT Database,252027018,9.0,-157.105156172,21.1708700861, , 
