,FID,Field1,FID_,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_c,OSDS_QTY_calc
0,16,29368,29368,251006072,2.0,0.0,0.0,0.0,2.0,2000.0,0.457985,0.124905,DWELDAT Database,2.0,10.0,7.0,-157.252153325,21.1728862093,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,27,29421,29421,251007041,2.0,0.0,0.0,0.0,2.0,900.0,0.206093,0.056207,Cesspool Database,1.0,0.0,3.0,-157.27062669,21.1532579356,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,29,29427,29427,251007054,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,5.0,-157.26650418399998,21.1599320664,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,33,29437,29437,254011052,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-156.98632297,21.0778990592,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,57,29471,29471,252002025,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-157.104482365,21.1657183604,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,61,29477,29477,252004010,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.071549842,21.1498180976,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,91,29523,29523,252004011,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.074337175,21.1502743075,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,92,29524,29524,252007009,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.063639848,21.1645463616,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,95,29529,29529,252022012,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-157.074700477,21.1736379589,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,96,29530,29530,252022013,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.0762772,21.1739703296,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,97,29531,29531,252022014,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.077932145,21.1737486554,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,99,29533,29533,252022016,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.080898775,21.1749086466,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,100,29534,29534,252022017,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.08236827599998,21.1753490917,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,116,29553,29553,252023020,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.075837068,21.1687726136,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,121,29559,29559,252023028,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,3.0,-157.083087067,21.1662264014,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,137,29582,29582,252001011,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,IWS Database,1.0,7.0,1.0,-157.09546995899998,21.1466725278,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,160,29611,29611,252004056,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-157.095652645,21.157786279,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,193,29673,29673,252017005,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.06316657899998,21.1802248204,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,219,29703,29703,254006033,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.988784203,21.0768613984,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,222,29706,29706,252007011,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.066464107,21.1664761205,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,225,29709,29709,252007020,2.0,0.0,0.0,0.0,2.0,400.0,0.091597,0.024981,DWELDAT Database,2.0,2.0,2.0,-157.061116842,21.1747965825,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,229,29713,29713,252007028,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.043186306,21.1644823846,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,275,29768,29768,252007094,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.06270074,21.1671329738,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,290,29785,29785,252022002,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.069986466,21.1726294048,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,298,29793,29793,252024001,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-157.085963786,21.1679389009,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,304,29800,29800,252023016,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-157.07508233299998,21.1650886137,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,308,29809,29809,252008028,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.033776656,21.0965853616,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,316,29819,29819,252008041,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.042872608,21.1033344395,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,323,29828,29828,254010017,2.0,0.0,0.0,0.0,2.0,400.0,0.091597,0.024981,DWELDAT Database,2.0,2.0,3.0,-156.99729255399998,21.0840912919,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,324,29830,29830,254010019,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.997037374,21.0844653598,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,361,29875,29875,252021005,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.070889588,21.1819062018,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,366,29885,29885,256011023,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-156.877457588,21.048032021,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,393,29924,29924,257007034,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-156.795743313,21.0737565421,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,394,29925,29925,252024010,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,4.0,-157.097223942,21.169167749,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,398,29929,29929,252025004,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.087160427,21.1761996486,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,400,29933,29933,257004001,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-156.770208387,21.0900094719,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,428,29974,29974,252026012,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.11081530799999,21.1812765601,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,447,29994,29994,254017040,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-156.971455914,21.07065871,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,453,30010,30010,257003081,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-156.753283743,21.1012472951,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,462,30019,30019,254006058,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.988512325,21.0767612045,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,495,30056,30056,254008005,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.009860351,21.082252836,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,545,30122,30122,252007003,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.054046222,21.1624193078,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,548,30125,30125,252007007,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-157.060413004,21.1643568148,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,553,30132,30132,252007036,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.053224319,21.1713141587,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,565,30170,30170,254016013,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,3.0,-156.97007885899998,21.0798521509,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,604,30226,30226,254009038,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-156.99976038399998,21.0815658223,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,619,30246,30246,252011032,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-157.052814569,21.1106978538,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,626,30253,30253,252013003,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.030078317,21.177666533,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,627,30258,30258,252010003,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.013082582,21.1499527133,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,629,30264,30264,252011022,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,Cesspool Database,1.0,3.0,2.0,-157.083693786,21.1069612276,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,630,30268,30268,254001020,2.0,0.0,0.0,0.0,2.0,200.0,0.045798,0.01249,DWELDAT Database,2.0,1.0,2.0,-156.943972583,21.0661117937,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,632,30275,30275,254001094,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-156.950289822,21.0669553357,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,642,30294,30294,252013032,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.013223999,21.1557825825,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,643,30295,30295,252013034,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.020853169,21.1603554377,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,659,30316,30316,254003035,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,4.0,-156.963580697,21.0696198527,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,667,30325,30325,252015012,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.05473269499998,21.1708795941,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,670,30329,30329,252015017,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-157.053879297,21.1670568701,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,673,30332,30332,252015020,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-157.058556788,21.1666061542,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,676,30335,30335,252015023,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,3.0,-157.059320263,21.1684629961,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,703,30365,30365,252016020,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,4.0,-157.004565451,21.1613561382,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,713,30377,30377,252016053,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-157.006624958,21.1608616744,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,764,30452,30452,254004014,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.998439984,21.0845863682,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,771,30463,30463,254004027,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-156.999415894,21.0845941774,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,772,30464,30464,254004028,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,3.0,-156.99993809,21.0848057292,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,774,30467,30467,254004031,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,2.0,-156.999418086,21.0856784178,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,800,30498,30498,254005036,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-157.000735359,21.0814820975,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,807,30521,30521,254017021,2.0,0.0,0.0,0.0,2.0,1600.0,0.366388,0.099924,DWELDAT Database,2.0,8.0,7.0,-156.966226149,21.0694389808,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,833,30559,30559,254006006,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-156.992373587,21.0777738812,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,834,30560,30560,254006008,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-156.991738374,21.0775999116,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,835,30561,30561,254006009,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-156.991389898,21.0775802663,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,844,30570,30570,254006019,2.0,0.0,0.0,0.0,2.0,400.0,0.091597,0.024981,DWELDAT Database,2.0,2.0,2.0,-156.981095993,21.0733540539,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,858,30586,30586,254009023,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-157.000199833,21.0829967786,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,917,30716,30716,256001030,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,4.0,-156.832724112,21.0599074553,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,922,30729,30729,256002003,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,2.0,-156.83001880999998,21.0631104918,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,929,30742,30742,257004027,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,3.0,-156.77932375,21.0855422694,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,954,30781,30781,256007055,2.0,0.0,0.0,0.0,2.0,1800.0,0.412187,0.112415,DWELDAT Database,2.0,9.0,2.0,-156.877747858,21.0550659719,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,957,30784,30784,256008002,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-156.86760616,21.0540609232,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,958,30785,30785,256008005,2.0,0.0,0.0,0.0,2.0,400.0,0.091597,0.024981,DWELDAT Database,2.0,2.0,2.0,-156.872001333,21.0526089833,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,983,30816,30816,256004010,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,3.0,-156.843070678,21.0565352132,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,996,30834,30834,256007044,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-156.875876559,21.0556072127,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1011,30855,30855,257007005,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,3.0,-156.794406549,21.0728357946,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1015,30862,30862,257007016,2.0,0.0,0.0,0.0,2.0,1400.0,0.32059,0.087433,DWELDAT Database,2.0,7.0,4.0,-156.796194718,21.072837055,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1022,30875,30875,257009001,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-156.819836646,21.0648670296,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1025,30880,30880,257010030,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,3.0,-156.822958554,21.0636847914,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1031,30887,30887,257011055,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-156.826541898,21.0624618845,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1036,30892,30892,258001004,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-156.751107389,21.1082217093,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1047,30905,30905,252015058,2.0,0.0,0.0,0.0,2.0,800.0,0.183194,0.049962,DWELDAT Database,2.0,4.0,2.0,-157.05764905,21.1702059009,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1053,30911,30911,252002019,2.0,0.0,0.0,0.0,2.0,1200.0,0.274791,0.074943,DWELDAT Database,2.0,6.0,5.0,-157.112155466,21.1658932254,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1063,30922,30922,258007013,2.0,0.0,0.0,0.0,2.0,600.0,0.137396,0.037471,DWELDAT Database,2.0,3.0,2.0,-156.741550126,21.1149747779,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,1074,30946,30946,257006033,2.0,0.0,0.0,0.0,2.0,1000.0,0.228992,0.062453,DWELDAT Database,2.0,5.0,2.0,-156.781912952,21.0836953823,Molokai,Cesspool,0.0,0.0, , , ,2.0,2.0
0,265,29754,29754,252018043,3.0,0.0,0.0,0.0,3.0,1400.0,0.32059,0.087433,DWELDAT Database,3.0,7.0,5.0,-157.004253264,21.1645400011,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
1,265,29754,29754,252018043,3.0,0.0,0.0,0.0,3.0,1400.0,0.32059,0.087433,DWELDAT Database,3.0,7.0,5.0,-157.004453264,21.1645400011,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
0,311,29814,29814,252008034,3.0,0.0,0.0,0.0,3.0,1800.0,0.412187,0.112415,DWELDAT Database,3.0,9.0,3.0,-157.046923812,21.1032803758,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
1,311,29814,29814,252008034,3.0,0.0,0.0,0.0,3.0,1800.0,0.412187,0.112415,DWELDAT Database,3.0,9.0,3.0,-157.047123812,21.1032803758,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
0,440,29987,29987,252027018,3.0,0.0,0.0,0.0,3.0,1800.0,0.412187,0.112415,DWELDAT Database,3.0,9.0,7.0,-157.105156172,21.1708700861,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
1,440,29987,29987,252027018,3.0,0.0,0.0,0.0,3.0,1800.0,0.412187,0.112415,DWELDAT Database,3.0,9.0,7.0,-157.105356172,21.1708700861,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
0,444,29991,29991,252027022,3.0,0.0,0.0,0.0,3.0,1800.0,0.412187,0.112415,DWELDAT Database,3.0,9.0,6.0,-157.111290268,21.1721862423,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
1,444,29991,29991,252027022,3.0,0.0,0.0,0.0,3.0,1800.0,0.412187,0.112415,DWELDAT Database,3.0,9.0,6.0,-157.111490268,21.1721862423,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
0,830,30552,30552,254003019,3.0,0.0,0.0,0.0,3.0,1000.0,0.228992,0.062453,DWELDAT Database,3.0,5.0,3.0,-156.981641303,21.0772630095,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
1,830,30552,30552,254003019,3.0,0.0,0.0,0.0,3.0,1000.0,0.228992,0.062453,DWELDAT Database,3.0,5.0,3.0,-156.981841303,21.0772630095,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
0,1030,30886,30886,257011051,3.0,0.0,0.0,0.0,3.0,1600.0,0.366388,0.099924,DWELDAT Database,3.0,8.0,3.0,-156.827499577,21.0618093966,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
1,1030,30886,30886,257011051,3.0,0.0,0.0,0.0,3.0,1600.0,0.366388,0.099924,DWELDAT Database,3.0,8.0,3.0,-156.827699577,21.0618093966,Molokai,Cesspool,0.0,0.0, , , ,3.0,3.0
0,1064,30924,30924,258011006,4.0,0.0,0.0,0.0,4.0,3600.0,0.824373,0.224829,DWELDAT Database,4.0,18.0,11.0,-156.737661924,21.1426638261,Molokai,Cesspool,0.0,0.0, , , ,4.0,4.0
1,1064,30924,30924,258011006,4.0,0.0,0.0,0.0,4.0,3600.0,0.824373,0.224829,DWELDAT Database,4.0,18.0,11.0,-156.73786192400001,21.1426638261,Molokai,Cesspool,0.0,0.0, , , ,4.0,4.0
2,1064,30924,30924,258011006,4.0,0.0,0.0,0.0,4.0,3600.0,0.824373,0.224829,DWELDAT Database,4.0,18.0,11.0,-156.737761924,21.1427638261,Molokai,Cesspool,0.0,0.0, , , ,4.0,4.0
0,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.017934654,21.1602856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
1,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.018134654,21.1602856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
2,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.018034654,21.1603856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
3,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.018034654,21.1601856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
4,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.017934654,21.1603856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
5,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.017934654,21.1601856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
6,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.018134654,21.1603856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
7,637,30287,30287,252013021,9.0,0.0,0.0,0.0,9.0,4400.0,1.007567,0.274791,DWELDAT Database,9.0,22.0,9.0,-157.018134654,21.1601856805,Molokai,Cesspool,0.0,0.0, , , ,9.0,9.0
